KL10,KL12,KL14,KL16,KL18,KL20,KL22,KL24,KL26,KL28,KL30,KL32,KL34,KL36,KL38,KL40,KL42,KL44,KL46,KL48,KL50,KL52,KL54,KL56,KL58,KL60,KL62,KL64,KL66,KL68,KL70,KL72,KL74,KL76,KL78,KL80,KL82,KL84,KL86,KL88,KL90,KL92,KL94,KL96,KL98,KL100,KL102,KL104,KL106,KL108,KL110,KL112,KL114,KL116,KL118,KL120,KL122,KL124,KL126,KL128,KL130,KL132,KL134,KL136,KL138,KL140,KL142,KL144,KL146,KL148,KL150,KL152,KL154,KL156,KL158,KL160,KL162,KL164,KL166,KL168,KL170,KL172,KL174,KL176,KL178,KL180,KL182,KL184,KL186,KL188,KL190,KL192,KL194,KL196,KL198,KL200
8.984445407940644,9.326687947569992,9.615876198059837,9.810344601228632,9.98475539655137,10.173511747379724,10.34140134038087,10.49660080210955,10.678695622781932,10.86214352882074,11.003424797408034,11.132032696503842,11.259662173399379,11.361656309808874,11.449968195275671,11.556424243985726,11.675634371428295,11.784231914683733,11.892993789404576,12.010520224147745,12.115847711798587,12.19895964040256,12.279014747255804,12.364964462755422,12.450709747073661,12.543529309120505,12.648630676994024,12.754679245544718,12.86036428366949,12.96517248416934,13.059458264025112,13.144325076080843,13.22996356866073,13.317930004947563,13.405414931050528,13.499790455426398,13.60249961700612,13.698759553932204,13.784638479983556,13.868908487935208,13.948315661816352,14.01827955315719,14.090798092748894,14.17452542011776,14.263639924884213,14.351237242285583,14.439857879642691,14.527462012832315,14.605726576667042,14.676584706364084,14.749099783061125,14.82657007314819,14.908757919273919,14.999145728228443,15.096532218350161,15.19125896972563,15.27944254333106,15.366958066678311,15.451630142482546,15.529902034154905,15.607690520511676,15.694664494279465,15.788304476360906,15.878589712951278,15.963961122234958,16.050869448420542,16.134659513338345,16.206877733016103,16.275366119476832,16.351343001847916,16.431271862379308,16.50957020400884,16.591948509265116,16.68070689994567,16.76590583763595,16.84296128185481,16.91933814244407,16.997955342660823,17.07664670894967,17.157507662010797,17.24599369504095,17.340797987667838,17.434970943870415,17.525356729081157,17.61327931386058,17.696752748930002,17.77468028710109,17.85280224879819,17.935135144640515,18.019746826312176,18.107162085076656,18.19782256851271,18.285233011247314,18.364706516369644,18.44053543268895,18.51645196311399
0.13297311404282758,0.11294506816673135,0.09793406598511155,0.0877395561220699,0.08090843994983177,0.07551732901906531,0.070558600420918,0.06574144655448794,0.06151766227527107,0.057873536951188916,0.05488409991902839,0.052166559399593866,0.049665234786502754,0.04734570090910367,0.04488439565823552,0.04270904421369838,0.041085433159339386,0.03989993183748718,0.03888077387818257,0.03779408278851003,0.03648329457690749,0.035186424785712836,0.034281360910428334,0.03355649905194087,0.03286729760982219,0.03221351857739886,0.03154913446711717,0.031027530915670842,0.030804302442034078,0.030691380892119896,0.03050131028739242,0.03036640629968211,0.03025173620456367,0.030192893471829126,0.030244183146851213,0.030376720545412562,0.03042925663877941,0.030407099302471714,0.03040987482099418,0.030405069411451626,0.03045401625154461,0.030712311054906904,0.03109157804336084,0.031432470332277376,0.031677303232626616,0.031835252165016564,0.03195341703488745,0.032170574768373345,0.032595229677609756,0.033033520091314196,0.033317178603811504,0.03352089725671939,0.033753458872610664,0.03407524960548482,0.034604120578257846,0.03523854710011953,0.03579023656334241,0.03626890658883179,0.036742554906110725,0.03725888306995423,0.03788179664457201,0.0386661809087712,0.03946785505753137,0.040232653905445684,0.04103781339540088,0.041927035025204895,0.042939790107398866,0.044170632226596875,0.045553998019982375,0.046912686684111395,0.04825538577402024,0.0496257964846166,0.05105769420602806,0.05264355848678932,0.0544475254003939,0.05633992509903536,0.05821352967219527,0.060085050989919266,0.061980042059341635,0.06393379939122469,0.06604367252176807,0.06828638816233251,0.07048868669817947,0.07257623105724341,0.07457658975013834,0.07653774215038739,0.07856453108616539,0.08070461952694426,0.08282879642104539,0.0848014016584726,0.0866385949960562,0.08840708084771538,0.09013447451218443,0.09188450224909861,0.09362736295357478,0.09521432890515469
0.06487230862313051,0.05396120472522432,0.04636232400035799,0.041522696879922445,0.03808717707537479,0.03518516063868522,0.03227394710446154,0.030191328376176694,0.028784243437592893,0.027644602483429807,0.02653516877618094,0.02546345118079316,0.0246101252822404,0.023899575825277092,0.0231411917046954,0.02231251535571125,0.0216618966884081,0.02127625661344721,0.021019596973011135,0.020715347025091417,0.020211005026919592,0.01971417579373905,0.019382713490535684,0.019158187828052013,0.018989118755722578,0.01877445174417436,0.018556361885328214,0.018428706096330367,0.018452110415954296,0.018538219548617105,0.01866306244151728,0.018786855549608333,0.01890148110009938,0.01903015847380071,0.01919546234099746,0.019375765946771945,0.0195879645913982,0.019805023120968275,0.019982731183103754,0.020161105934468123,0.02042976883286575,0.02074059325885324,0.02102003197395939,0.021259005543156864,0.021431818283289876,0.02161082458870465,0.021902232470636756,0.02225676347683098,0.022570915345728117,0.022852214207470703,0.023102010473282017,0.023341006669176184,0.0236272146259935,0.023946393064855822,0.024239706757506096,0.024536951633382806,0.024802821775915394,0.02501957948907386,0.025216249106569083,0.025456464185694822,0.025724674579019297,0.02599376747801545,0.02622487517982898,0.02639189616538585,0.026543293978193782,0.026752460460767055,0.027016483352748137,0.027259298389948134,0.027454265065595396,0.02760973541589003,0.02774742413159912,0.027921058287685926,0.02814036217435937,0.028343965378116797,0.028532838349845588,0.028705984086765064,0.028851756608951864,0.028996464405387307,0.029197092031590592,0.02941999697829147,0.029639588847780295,0.029822661893920174,0.029942053059120167,0.03003982507742248,0.030211922033198793,0.03045030879356109,0.03069107606529823,0.03089613687125339,0.03105101771186671,0.031190556854448655,0.03138540208031035,0.031639112637499356,0.031879914737636184,0.032091775173624305,0.0322732540111661,0.032442341262684665
0.04048476326826593,0.034856290621735,0.030435251866972685,0.02742385687215459,0.025154807126150328,0.023471413419829508,0.021962572795758487,0.020739578464048516,0.01968470036077686,0.01879202483616915,0.017726029339771843,0.016697666214247807,0.01591142104629043,0.015297840159305347,0.014904991593947984,0.014500234379897817,0.014102157134308119,0.013751139561771736,0.013503998497046721,0.013453524923314324,0.013389004394231501,0.013312735576162764,0.013197041430583669,0.013144609141512177,0.013091869657372439,0.013039780639520953,0.013039420934315666,0.013001294725079847,0.012970434274159955,0.012914979365245981,0.012922764842949989,0.012952048580728417,0.013003587860949016,0.013063588959972722,0.013088420733267653,0.013101917379493549,0.013110634141933551,0.013180202331825546,0.013302925951270632,0.013467264433363458,0.013594509575112313,0.013652666825717308,0.013740084254926826,0.013871276880974559,0.014042320860860286,0.014206746748086512,0.014324679594869246,0.014376609383241305,0.01440462106341556,0.014486103754153322,0.014615097345854484,0.014777073126594919,0.014903057946031067,0.014958278992741492,0.014975639534728339,0.015010569288930384,0.015097261560053388,0.015215796272307736,0.01534023927215548,0.015406320324779978,0.01542051610540126,0.015445346976377578,0.015523227111273486,0.01565181042683531,0.01579118889246329,0.01588501489882495,0.01591871602209635,0.015952084453557683,0.016035346532112017,0.016163743005929425,0.0163053484034055,0.016406660727100376,0.01645465668160946,0.01648090769432785,0.01653602919982605,0.01663273879477106,0.01674998960978292,0.01685223580873181,0.01690434120407271,0.016925737039978978,0.016960991414993184,0.017037459182372077,0.017143566764536104,0.017251102031415035,0.017314895868840594,0.01732827565997848,0.01733849106511222,0.017391416838274276,0.017491644908660377,0.017603220548822497,0.01767058252192382,0.017684296739702194,0.01769220560526039,0.017744390060424345,0.017847354143369323,0.01796681249918261
0.0240840369743171,0.021778684688702976,0.019802917385194473,0.01857229139272666,0.017571452589032754,0.016358827223202622,0.015204820706994663,0.014290077101293664,0.013829895224894086,0.013371439674389866,0.012778669323800406,0.01205273898646018,0.011416798071036892,0.010960821360651843,0.010679317714759787,0.010385305006948151,0.010071027106642663,0.009771098148270223,0.009445570768683974,0.00912828289298211,0.00889896435159971,0.008739387350606961,0.00864468410353192,0.008560004824365218,0.008365355032355908,0.008113385476424418,0.007968402043555683,0.007940957416944117,0.007903620336450852,0.00779590366114496,0.007623664509069242,0.0074601053583583515,0.007436572769192405,0.007502142975038136,0.007551353188184995,0.0075486244993064056,0.007527150414172684,0.00751388700690708,0.00758103481366144,0.007706987673672649,0.007803432051611196,0.007862792749734499,0.007923452966886523,0.008001805851171927,0.00812490880911982,0.008319518306268316,0.008493941402461897,0.008644869443615673,0.008803420979255941,0.008959682136878117,0.00916755204337975,0.009440689308253283,0.009701291807355879,0.00990159320489614,0.010100615510082293,0.010297063007901643,0.01055186310733083,0.010885837477762955,0.011204030818332104,0.011482926004776966,0.011734484320688122,0.01199407462957049,0.012295213248113031,0.012664050845962536,0.013024928825671382,0.013302557387535463,0.013527495321285981,0.013743220551981579,0.014019365456648333,0.01435601127408432,0.014697371560962716,0.014957870628751993,0.015162686970891273,0.015369034143865467,0.015603558826065627,0.01589062819210659,0.016178054371305442,0.01639679842757398,0.016550668270727178,0.01670169048001923,0.016870476458879256,0.01708186156310899,0.01732473034911877,0.01751677163827989,0.017660710830257262,0.01777919906968871,0.017906182561986745,0.018078328729394782,0.018300493210565146,0.018482261494405502,0.01858947671199963,0.018658918178872604,0.01873535092304589,0.01887829501340693,0.019068022938467134,0.01922715101574531
0.019326438940198164,0.01771610325722813,0.016371524294719775,0.015632182077926226,0.01491492529830504,0.014090662102239786,0.01318858786184205,0.012283574252289665,0.0116482225135871,0.011081911241994593,0.010535981823295746,0.009983594038536235,0.009369857444366471,0.008747214638392784,0.008278948415947717,0.007903521691461945,0.00759604392144974,0.007372513866604394,0.0071211902358221755,0.006906760960889145,0.006785729150553458,0.006721281616777789,0.006650803544773331,0.006559751429786735,0.006430158039924608,0.0063693695908886945,0.006432667818318055,0.006532618721360005,0.006611497830924336,0.0066545089845891974,0.006671249799727614,0.0067320247590954355,0.006850052640806448,0.00699316051595761,0.007154221333495936,0.0073074375333124055,0.0074306282792494715,0.007568463576893732,0.007747490377168265,0.007946006259528992,0.0081428387832985,0.008327898419781224,0.00849354432569628,0.008687879028318897,0.00892140905841847,0.009163797708008353,0.009391418749305156,0.00959460202202608,0.009783054541900267,0.00999586750301349,0.010235966638186144,0.010467175318916434,0.010681295279232337,0.010873382572984418,0.011060038397643728,0.011282555974138785,0.011541802519579737,0.011815390252497957,0.012077375041692142,0.012312243806170658,0.012531021874213977,0.01277131630372696,0.013033360163799345,0.013304464123281746,0.013579328052497846,0.013850194623392983,0.014131219161929609,0.014437073996063872,0.014769946113997763,0.015117540659834868,0.015473308491948081,0.01582708123227014,0.01617873571416962,0.016556185728084417,0.0169681926910339,0.01739692121218226,0.01782642226693894,0.018250039032701497,0.018678723707243914,0.019143400364227386,0.019644514571256388,0.02015154591149673,0.02065431159408053,0.02114093109204154,0.02162852330956794,0.022148212810587927,0.022698873542745312,0.02325891380547634,0.023812677448929363,0.02434424855716952,0.024863493642181846,0.025404930073335014,0.025976103786925123,0.02656300568635359,0.027137273730654807,0.02767440323210709
0.00935146834684047,0.008531970862508816,0.00790496449486461,0.007725761243499116,0.00759222936630246,0.007280236178112788,0.006814871177891587,0.006471872982985475,0.006221243281992607,0.0060361458279327975,0.00573509332064212,0.0054006647805171165,0.0051650800092395335,0.004968803150012406,0.004697214133595483,0.004446526030051466,0.004225014094861719,0.004114618304687356,0.004066835531946278,0.004014357659585406,0.003961712383547129,0.003875116027989736,0.0037654063665195064,0.0036641686083780578,0.003610972791491728,0.00356684481978518,0.003525344892193141,0.0034906432530531595,0.003466375879035812,0.0035221856964296676,0.003598482327925888,0.0036603500262970953,0.003693643168344636,0.0037367355249237726,0.0038515146075787654,0.004030054517628058,0.004193681595236892,0.004333263566022831,0.004480779560671323,0.00468302958121718,0.004960693751469867,0.005263293472444878,0.005560437797178049,0.005852641097097099,0.00615996613694593,0.006508664440957535,0.0068843473272867375,0.007251562471148499,0.007621107781831814,0.008018384894332355,0.008451366085643591,0.00891903582009657,0.0093809881716944,0.009806574776861364,0.010213821363809224,0.010611210608985927,0.011035954092459709,0.011475208955649468,0.011874831291693207,0.012219235207358962,0.012538622327843798,0.012868213608997276,0.013226066723667477,0.013576430491811994,0.013886644118142647,0.01416046576878002,0.014413664841489154,0.014664578683008514,0.014924194395422257,0.01515272751769804,0.01535140247898429,0.015536872134108195,0.0157305774043106,0.015944814651771975,0.016151461613897113,0.01631483672084267,0.016455282751309783,0.016587189021127016,0.016741201051272026,0.016915873189082282,0.017063423912880994,0.017172107922119505,0.01726327723710157,0.017368307959646948,0.017510481085419475,0.017662412358823543,0.017784456034700483,0.017872083374246648,0.017948431487031163,0.018040461918316743,0.018159699264356687,0.018266871209414944,0.018346061731998327,0.018415717809541873,0.01849437463515985,0.018596033203504492
0.007329984696067196,0.006240099789518692,0.006154587169616542,0.006396888252949045,0.00654671392554906,0.006366779071520126,0.006256486638213893,0.0063038471907274525,0.006215204910821957,0.006217529695154744,0.006152348073288222,0.0060993517204267255,0.005932203245186979,0.005635292576446055,0.005432910634738453,0.005230118472105353,0.005116460696574687,0.004935954011294857,0.004733627626070313,0.004601569709265569,0.004541809025396174,0.004480029872836818,0.004376621370389243,0.004258805789565391,0.004131911198001314,0.004022673510321598,0.003955030310316922,0.003934026267470933,0.003956592198338844,0.003946548569334568,0.003927639429230094,0.0039352850910863175,0.004004140928381498,0.004068230481414406,0.0040795789640208245,0.004084111183040875,0.0040909565177993205,0.004159970934920248,0.004256068316586941,0.004368172688665614,0.004469912589272463,0.004565266046565291,0.0046425611087622855,0.004721726987175717,0.00481869475580622,0.004906401424583859,0.00498015724323726,0.005046200790050058,0.005126858949175845,0.005262632355404656,0.00542705887845808,0.005570849443833396,0.005682694355694287,0.005770595267183623,0.005862836992844946,0.005956094324341373,0.006054680520778557,0.006142301447429646,0.0062422131204589205,0.006349023211708267,0.0064675771441620716,0.006602541478702359,0.006745877430745677,0.006868522215252867,0.006965139352880334,0.007044818926758296,0.007115768707571448,0.0072139622124233905,0.007331742240040718,0.0074539425086767135,0.007569029036699958,0.007670481428852787,0.007774285087302236,0.007898043893122712,0.008019155655775058,0.008120322684747236,0.008198186218770494,0.008276062468878069,0.008368919152756893,0.008500108503543725,0.008641186859469742,0.008769832932234992,0.008877256944220733,0.00896773446384315,0.009063336039463618,0.009167811483117934,0.00927629463926582,0.00937045194182494,0.00946498445323898,0.00956408530248672,0.009681752485725864,0.009826229873154738,0.009967284206887667,0.010087841845563342,0.010186415943598879,0.010271038263886336
0.0050195878472133245,0.0042261759915495,0.0042234746982573405,0.004201856880539499,0.0038961080904565733,0.0036565812057970668,0.003576062326599334,0.003610597339146841,0.00359923347684207,0.003533847083131742,0.0035187569190189075,0.003530749001941017,0.0035006603892130663,0.0036164891726288037,0.0037946043599496903,0.003941174403076958,0.004007458701858976,0.004131085932514698,0.004318184345924974,0.004563169969354149,0.004796215355753032,0.004985234912748908,0.005166631878334245,0.0053409129530278395,0.005578342066092292,0.005904129414751018,0.006224847278976314,0.006466219233710733,0.006638511171942531,0.006812327340400105,0.007053665454834526,0.007387924714476456,0.00769940600458322,0.007931391374963691,0.00812785240086049,0.008331382504579803,0.008568115861783108,0.008862879413042724,0.009176279412440185,0.009454728368314647,0.009675649235998927,0.00987688606139728,0.01011103498245848,0.01039010495490734,0.01065292638939235,0.010892188644936698,0.011114968997715713,0.011335721586098794,0.011589500644346959,0.011874533489698944,0.012149678420174576,0.012389847723146044,0.01262160495307964,0.012867710101564726,0.013152871783737852,0.013434808442515907,0.013679426600146207,0.013917862241272295,0.014181089900644527,0.014476407256305715,0.014811554979815353,0.015153721202337789,0.015455954189001564,0.01574258947853224,0.016051969643065597,0.01639944323153113,0.016788722392187067,0.017185963851058056,0.01755056394664221,0.017902179242011016,0.018279101347292284,0.018700758186163947,0.019154396409502186,0.01960735006119075,0.020031721879655802,0.020442980513836743,0.020860669511618607,0.021303511871717817,0.021773276552928395,0.0222368834803421,0.02267180078082059,0.023085659840348285,0.023497265521948297,0.02390901882210693,0.024326287854034075,0.02473573071138092,0.0251282213244042,0.025498844930793078,0.02585475229903174,0.02620760462030156,0.026562913083922595,0.02691533042774776,0.02725959911081957,0.0275939544955125,0.02790276935907464,0.028188885660395725
0.004795409735779065,0.0037767382091908846,0.0035624656345406847,0.0035152180133395257,0.0033886895950569888,0.0032275372779548644,0.0030812633998085178,0.003027211810780441,0.0030029084346769965,0.0030173886774455374,0.003110272202819736,0.0032501735279500585,0.003335555241024166,0.00338498998024421,0.003281713057299609,0.003202264595902673,0.0032980941940253493,0.0035205861763388134,0.0037563983915408776,0.003953896989919862,0.0040771825042499234,0.004107782444524416,0.004146397971653982,0.004291724954658391,0.004556374569072108,0.004855949779726764,0.005144728023205214,0.005356118010968029,0.005497957849851114,0.005658523410052946,0.005939029150454035,0.006303500846808165,0.006688993063384044,0.007025953020577186,0.007298575568418962,0.007510132776438035,0.007737460480102279,0.008048198328015746,0.008422944982473583,0.008816885318266977,0.009158566404261588,0.009449551770909812,0.009674123829940104,0.009909350646033798,0.010216982718539406,0.010561345004636527,0.010902732841087621,0.01122260268673639,0.011476181751722509,0.011677379328842165,0.01188227647991803,0.012135266221720328,0.012413744646516938,0.01269738296100017,0.012940379349160156,0.013126338904054567,0.013281398331983411,0.013441596047083173,0.013642263083910798,0.013865004966721294,0.014079957736498953,0.014254290389533122,0.014373365674384417,0.014458065009732518,0.014561666886826998,0.014705974312061693,0.014866776725807915,0.015016807750891167,0.015129436388420292,0.015194179575938428,0.015241078337876987,0.01530002926154302,0.015393097020615153,0.015503449182274252,0.015601114457604532,0.015667301575098092,0.015698041836281172,0.015715200632730467,0.01575575352560715,0.01582798184613438,0.01591478683963516,0.01599266571939481,0.016046570139092532,0.0160692213084052,0.016090752277636164,0.016138510641649857,0.016212910369582438,0.016303707131466786,0.016382185606874444,0.016437299509418413,0.0164720010931528,0.01651149180262871,0.01658185208751216,0.016680851198648716,0.01678810260252393,0.016882946672569416
