KL10,KL12,KL14,KL16,KL18,KL20
0.11491886609173049,0.11767016382946825,0.11515005009485305,0.12030999151082511,0.1276584582353092,0.12778504006606062
0.0821912253886866,0.06789259592660704,0.06345163721890315,0.06350228317980483,0.06400976224632805,0.06689520552755732
0.030338154628578678,0.02679988521190346,0.025514816450501847,0.02744751708619413,0.03022962745954271,0.03355646708037813
0.011562051134221806,0.010483998832653314,0.01099209165805924,0.012999247685378003,0.016593880945567775,0.021454583097271773
0.011875077687674627,0.009482269458404054,0.009097122351463984,0.008533369289804091,0.009186771444441204,0.009586246185602883
0.008486229150626074,0.006991700720401731,0.006930310114464835,0.007240948690921023,0.008085725003552445,0.008832958964923292
0.008258446817628662,0.006843081399344308,0.006696051729611284,0.0062070187497423575,0.006200786798076326,0.006396316549493572
0.005498685706582484,0.0048161282488419915,0.005608237318051602,0.005493327237878863,0.006132146450514821,0.006901153594341003
0.0049321392916356005,0.004067917571691734,0.0036256866896923236,0.0038740415182789882,0.004321685637618362,0.004599772062907832
0.004181034309495508,0.0035184643396593066,0.003658558727412189,0.0036656883005974244,0.004089622061187292,0.0045467386148391985
